id,user_id,question_id,points,submitted_at,username
1,1235457227733864469,9,60,2024-10-26 00:51:23.631099+05:30,najir_11320
2,1298672386534539475,7,-10,2024-10-26 00:51:40.401706+05:30,dodo98712050
4,1235457227733864469,25,120,2024-10-26 02:14:37.671239+05:30,najir_11320
9,1235457227733864469,8,60,2024-10-26 03:17:41.299445+05:30,najir_11320
13,1235457227733864469,31,80,2024-10-26 03:48:40.246814+05:30,najir_11320
16,1235457227733864469,28,60,2024-10-26 04:02:38.81374+05:30,najir_11320
21,1235457227733864469,14,60,2024-10-26 04:15:08.440826+05:30,najir_11320
23,1235457227733864469,32,60,2024-10-26 05:35:15.913896+05:30,najir_11320
24,1235457227733864469,121,120,2024-10-26 05:36:14.10267+05:30,najir_11320
29,1298672386534539475,105,-10,2024-10-26 06:02:06.272094+05:30,dodo98712050
30,1298672386534539475,263,-10,2024-10-26 12:34:04.502725+05:30,dodo98712050
31,1298672386534539475,62,-10,2024-10-26 12:35:33.245745+05:30,dodo98712050
32,1298672386534539475,247,-10,2024-10-26 12:40:31.321712+05:30,dodo98712050
33,1298672386534539475,201,-10,2024-10-26 12:41:14.398591+05:30,dodo98712050
34,1298672386534539475,233,60,2024-10-26 12:42:57.904963+05:30,dodo98712050
37,1235457227733864469,64,80,2024-10-26 15:05:28.902836+05:30,najir_11320
38,1235457227733864469,161,0,2024-10-26 18:18:08.651534+05:30,najir_11320
39,1235457227733864469,90,0,2024-10-26 18:18:43.565799+05:30,najir_11320
40,1235457227733864469,52,80,2024-10-26 20:26:01.410021+05:30,najir_11320
41,1235457227733864469,256,60,2024-10-26 20:26:30.860522+05:30,najir_11320
46,1235457227733864469,237,60,2024-10-26 20:34:10.296642+05:30,najir_11320
48,1298672386534539475,303,-20,2024-10-26 20:36:53.330506+05:30,dodo98712050
53,1235457227733864469,246,120,2024-10-26 21:55:22.194302+05:30,najir_11320
56,1298672386534539475,90,-40,2024-10-26 23:18:40.908087+05:30,dodo98712050
59,1235457227733864469,149,120,2024-10-26 23:46:38.176981+05:30,najir_11320
64,1235457227733864469,166,120,2024-10-27 00:59:37.496994+05:30,najir_11320
65,1298672386534539475,79,-10,2024-10-27 04:44:55.308634+05:30,dodo98712050
66,1298672386534539475,143,-10,2024-10-27 04:50:11.651296+05:30,dodo98712050
67,1298672386534539475,143,120,2024-10-27 04:51:47.798532+05:30,dodo98712050
68,1235457227733864469,251,130,2024-10-27 21:32:59.221691+05:30,najir_11320
70,1235457227733864469,16,120,2024-10-27 21:42:58.287864+05:30,najir_11320
71,1300128666302414880,66,-10,2024-10-27 22:23:26.5433+05:30,amit044024
76,848234085348671488,9,120,2024-10-27 23:44:04.326387+05:30,dai7350
77,848234085348671488,29,170,2024-10-27 23:52:46.556689+05:30,dai7350
78,1118952405804003369,67,-10,2024-10-27 23:52:56.097256+05:30,uday3007
79,1118952405804003369,67,160,2024-10-27 23:55:14.251237+05:30,uday3007
80,848234085348671488,280,180,2024-10-27 23:58:38.201207+05:30,dai7350
83,1235457227733864469,163,120,2024-10-28 01:44:17.890395+05:30,najir_11320
85,1235457227733864469,308,120,2024-10-28 02:09:30.195271+05:30,najir_11320
86,1298672386534539475,15,130,2024-10-28 02:19:09.913066+05:30,dodo98712050
87,687329197135626341,268,80,2024-10-28 02:51:24.261235+05:30,chiranjeev3210
88,687329197135626341,107,90,2024-10-28 03:30:54.198274+05:30,chiranjeev3210
90,687329197135626341,297,100,2024-10-28 16:01:50.800551+05:30,chiranjeev3210
91,687329197135626341,8,90,2024-10-28 16:03:07.379432+05:30,chiranjeev3210
94,1235457227733864469,72,120,2024-10-28 16:46:48.241229+05:30,najir_11320
98,1235457227733864469,171,0,2024-10-28 21:35:00.219811+05:30,najir_11320
99,1298672386534539475,171,0,2024-10-28 21:35:00.32369+05:30,dodo98712050
102,1298672386534539475,107,-20,2024-10-28 22:15:00.348466+05:30,dodo98712050
104,1235457227733864469,235,60,2024-10-29 11:02:05.618827+05:30,najir_11320
105,1235457227733864469,13,70,2024-10-29 11:07:48.320809+05:30,najir_11320
107,1235457227733864469,305,60,2024-10-29 11:18:51.163129+05:30,najir_11320
109,1262933589515833357,306,60,2024-10-29 14:05:43.023695+05:30,ashh011880
110,1235457227733864469,372,0,2024-10-29 15:09:43.175216+05:30,najir_11320
111,1112840424097325096,255,60,2024-10-29 15:10:16.082358+05:30,amandeep.kaur
112,1298672386534539475,372,-10,2024-10-29 15:10:52.823771+05:30,dodo98712050
113,1235457227733864469,400,90,2024-10-29 16:35:27.287069+05:30,najir_11320
114,1235457227733864469,373,140,2024-10-29 16:52:59.408836+05:30,najir_11320
115,1179805293518004286,259,80,2024-10-29 19:28:48.379792+05:30,harshavardhan29
116,1179805293518004286,288,90,2024-10-29 19:31:47.164144+05:30,harshavardhan29
117,1179805293518004286,279,-10,2024-10-29 19:37:28.534979+05:30,harshavardhan29
118,1179805293518004286,279,80,2024-10-29 19:40:41.728967+05:30,harshavardhan29
119,1179805293518004286,147,70,2024-10-29 19:43:59.865264+05:30,harshavardhan29
120,1179805293518004286,96,100,2024-10-29 20:13:18.210383+05:30,harshavardhan29
121,1060410743834546186,91,80,2024-10-29 20:23:21.805574+05:30,pradeep2449
122,1294768227401863189,246,60,2024-10-29 20:44:46.786421+05:30,sahib_08740
123,1300839064781455401,400,80,2024-10-29 20:46:56.725855+05:30,anusha_sha
124,1294768227401863189,248,70,2024-10-29 20:50:05.408106+05:30,sahib_08740
125,1294768227401863189,239,80,2024-10-29 20:52:06.222258+05:30,sahib_08740
126,1294768227401863189,303,90,2024-10-29 20:57:38.388872+05:30,sahib_08740
127,1298672386534539475,96,-20,2024-10-29 21:30:00.381997+05:30,dodo98712050
129,1112840424097325096,96,-20,2024-10-29 21:30:00.421758+05:30,amandeep.kaur
130,1300859158136098947,60,80,2024-10-29 22:17:03.493597+05:30,bhavin0952
131,1224471913867251773,19,80,2024-10-29 22:24:18.684782+05:30,sigmund_freud_36467
132,1300839064781455401,373,-10,2024-10-29 22:35:12.821339+05:30,anusha_sha
133,1300839064781455401,373,120,2024-10-29 22:35:54.218895+05:30,anusha_sha
134,1179805293518004286,177,110,2024-10-29 22:43:22.364582+05:30,harshavardhan29
135,1300839064781455401,171,90,2024-10-29 22:44:48.200921+05:30,anusha_sha
136,1300859530166403143,288,80,2024-10-29 22:45:29.45852+05:30,shubhampanthri_12929
137,1300839064781455401,311,-10,2024-10-29 22:59:17.257628+05:30,anusha_sha
138,1300839064781455401,311,80,2024-10-29 23:00:43.865019+05:30,anusha_sha
139,1300859530166403143,277,90,2024-10-29 23:07:24.756709+05:30,shubhampanthri_12929
140,1300839064781455401,320,-10,2024-10-29 23:10:08.674936+05:30,anusha_sha
141,1300839064781455401,320,-10,2024-10-29 23:11:01.808937+05:30,anusha_sha
142,1300859530166403143,299,100,2024-10-29 23:21:00.81112+05:30,shubhampanthri_12929
143,1179805293518004286,46,-10,2024-10-30 00:05:41.310075+05:30,harshavardhan29
144,1179805293518004286,46,80,2024-10-30 00:08:34.777577+05:30,harshavardhan29
145,1179805293518004286,290,90,2024-10-30 00:17:44.857626+05:30,harshavardhan29
146,1179805293518004286,281,100,2024-10-30 00:19:33.186201+05:30,harshavardhan29
147,1179805293518004286,217,110,2024-10-30 00:24:28.863443+05:30,harshavardhan29
148,1179805293518004286,346,120,2024-10-30 00:40:46.476597+05:30,harshavardhan29
149,1202370332053344306,284,80,2024-10-30 02:13:28.943831+05:30,rahulgummal
150,687329197135626341,174,-10,2024-10-30 03:31:56.398046+05:30,chiranjeev3210
151,687329197135626341,174,-10,2024-10-30 03:33:19.255866+05:30,chiranjeev3210
152,687329197135626341,174,-10,2024-10-30 03:34:41.44059+05:30,chiranjeev3210
153,687329197135626341,59,120,2024-10-30 03:47:13.399684+05:30,chiranjeev3210
154,687329197135626341,66,90,2024-10-30 03:55:23.274172+05:30,chiranjeev3210
155,1060410743834546186,110,-10,2024-10-30 09:12:13.159051+05:30,pradeep2449
156,1060410743834546186,110,-10,2024-10-30 09:15:07.998267+05:30,pradeep2449
157,1060410743834546186,110,80,2024-10-30 09:17:14.613882+05:30,pradeep2449
158,1300859530166403143,183,110,2024-10-30 09:39:58.170444+05:30,shubhampanthri_12929
159,1300859530166403143,87,160,2024-10-30 09:47:51.419369+05:30,shubhampanthri_12929
160,1300859530166403143,79,170,2024-10-30 09:55:52.396066+05:30,shubhampanthri_12929
161,1179805293518004286,133,-10,2024-10-30 11:12:54.520396+05:30,harshavardhan29
162,1179805293518004286,133,-10,2024-10-30 11:14:14.562054+05:30,harshavardhan29
163,1179805293518004286,133,120,2024-10-30 11:17:43.386158+05:30,harshavardhan29
164,1179805293518004286,68,-10,2024-10-30 11:23:51.806726+05:30,harshavardhan29
165,1179805293518004286,68,-10,2024-10-30 11:26:32.319222+05:30,harshavardhan29
166,1179805293518004286,68,120,2024-10-30 11:26:59.776402+05:30,harshavardhan29
167,1179805293518004286,79,130,2024-10-30 11:31:04.512159+05:30,harshavardhan29
168,1179805293518004286,354,100,2024-10-30 11:42:06.597822+05:30,harshavardhan29
169,1179805293518004286,60,110,2024-10-30 11:44:52.329294+05:30,harshavardhan29
170,1301069060150136936,243,60,2024-10-30 12:04:33.202776+05:30,bharath_66231
171,1060410743834546186,238,70,2024-10-30 12:45:14.744702+05:30,pradeep2449
172,1301069946561892392,192,60,2024-10-30 13:20:01.91446+05:30,tanvi_88897
173,1301069946561892392,266,90,2024-10-30 13:29:49.306452+05:30,tanvi_88897
174,1301096875272699904,278,80,2024-10-30 14:16:22.391926+05:30,adventurous_unicorn_71057
175,1301096875272699904,308,70,2024-10-30 14:23:56.250603+05:30,adventurous_unicorn_71057
176,1301096875272699904,288,100,2024-10-30 14:27:43.575799+05:30,adventurous_unicorn_71057
177,1301096875272699904,232,90,2024-10-30 14:30:26.245214+05:30,adventurous_unicorn_71057
178,1301096875272699904,93,-10,2024-10-30 14:38:53.877037+05:30,adventurous_unicorn_71057
179,1301096875272699904,93,-10,2024-10-30 14:40:31.67143+05:30,adventurous_unicorn_71057
180,1301096875272699904,172,80,2024-10-30 14:52:10.613951+05:30,adventurous_unicorn_71057
181,1301110299889504358,91,80,2024-10-30 15:04:02.415564+05:30,vamsi_39440
182,1301110299889504358,364,90,2024-10-30 15:17:36.450762+05:30,vamsi_39440
183,1301096875272699904,208,-10,2024-10-30 15:30:52.579796+05:30,adventurous_unicorn_71057
184,1301096875272699904,208,-10,2024-10-30 15:31:56.828921+05:30,adventurous_unicorn_71057
185,1301096875272699904,208,-10,2024-10-30 15:33:41.641449+05:30,adventurous_unicorn_71057
186,1060410743834546186,107,100,2024-10-30 16:04:40.964525+05:30,pradeep2449
187,1060410743834546186,66,110,2024-10-30 16:19:40.587709+05:30,pradeep2449
188,1301096875272699904,333,80,2024-10-30 16:27:42.531852+05:30,adventurous_unicorn_71057
189,1301096875272699904,341,-10,2024-10-30 16:33:31.496046+05:30,adventurous_unicorn_71057
190,639395659706794006,258,60,2024-10-30 16:34:27.89009+05:30,ttbhai
191,1301096875272699904,341,-10,2024-10-30 16:34:57.491747+05:30,adventurous_unicorn_71057
192,1301096875272699904,341,-10,2024-10-30 16:37:48.10946+05:30,adventurous_unicorn_71057
193,639395659706794006,235,70,2024-10-30 16:38:55.964668+05:30,ttbhai
194,1202370332053344306,268,90,2024-10-30 19:49:13.391504+05:30,rahulgummal
195,1179805293518004286,247,100,2024-10-30 20:37:12.492132+05:30,harshavardhan29
196,1300128666302414880,85,-20,2024-10-30 21:30:00.345115+05:30,amit044024
198,1179805293518004286,85,-20,2024-10-30 21:30:00.408155+05:30,harshavardhan29
199,1202370332053344306,358,100,2024-10-30 22:50:03.523945+05:30,rahulgummal
200,1179805293518004286,236,110,2024-10-30 22:51:34.45288+05:30,harshavardhan29
201,1179805293518004286,172,140,2024-10-30 22:55:57.285058+05:30,harshavardhan29
202,1179805293518004286,216,-10,2024-10-30 23:01:55.779869+05:30,harshavardhan29
203,1179805293518004286,216,-10,2024-10-30 23:05:30.397678+05:30,harshavardhan29
204,1300839064781455401,150,60,2024-10-30 23:24:25.781116+05:30,anusha_sha
205,1300839064781455401,336,-10,2024-10-30 23:51:26.679752+05:30,anusha_sha
206,796757669226610739,244,60,2024-10-31 01:31:28.300893+05:30,pushpakgaikwad12
207,796757669226610739,94,90,2024-10-31 01:40:46.093187+05:30,pushpakgaikwad12
208,1235457227733864469,128,150,2024-10-31 08:39:56.647981+05:30,najir_11320
209,1118952405804003369,400,90,2024-10-31 08:48:58.506458+05:30,uday3007
210,1118952405804003369,373,-10,2024-10-31 09:05:11.36784+05:30,uday3007
211,1118952405804003369,373,-10,2024-10-31 09:07:21.830352+05:30,uday3007
212,1118952405804003369,373,-10,2024-10-31 09:12:13.191467+05:30,uday3007
213,796757669226610739,106,100,2024-10-31 09:31:38.33115+05:30,pushpakgaikwad12
214,796757669226610739,283,110,2024-10-31 09:40:03.324963+05:30,pushpakgaikwad12
215,1118952405804003369,373,-10,2024-10-31 10:15:33.426472+05:30,uday3007
216,1118952405804003369,373,120,2024-10-31 10:20:42.302224+05:30,uday3007
217,1235457227733864469,245,100,2024-10-31 12:31:59.381694+05:30,najir_11320
219,1301096875272699904,282,80,2024-10-31 13:38:16.873569+05:30,adventurous_unicorn_71057
220,1301096875272699904,36,-10,2024-10-31 13:42:26.548848+05:30,adventurous_unicorn_71057
221,1301096875272699904,36,-10,2024-10-31 13:42:55.284078+05:30,adventurous_unicorn_71057
222,1301096875272699904,112,80,2024-10-31 13:48:19.92437+05:30,adventurous_unicorn_71057
223,1301096875272699904,202,-10,2024-10-31 13:54:22.554965+05:30,adventurous_unicorn_71057
224,1301096875272699904,202,-10,2024-10-31 13:55:26.330242+05:30,adventurous_unicorn_71057
225,1301096875272699904,202,-10,2024-10-31 13:56:29.29697+05:30,adventurous_unicorn_71057
226,1301096875272699904,141,60,2024-10-31 14:03:48.305277+05:30,adventurous_unicorn_71057
227,1301096875272699904,133,130,2024-10-31 14:20:14.355222+05:30,adventurous_unicorn_71057
228,1301096875272699904,227,-10,2024-10-31 14:22:31.6832+05:30,adventurous_unicorn_71057
229,1301096875272699904,227,-10,2024-10-31 14:24:34.310797+05:30,adventurous_unicorn_71057
230,1301096875272699904,227,60,2024-10-31 14:25:04.249197+05:30,adventurous_unicorn_71057
231,1301096875272699904,19,90,2024-10-31 14:36:18.844562+05:30,adventurous_unicorn_71057
232,1301096875272699904,338,-10,2024-10-31 14:43:23.451395+05:30,adventurous_unicorn_71057
233,1301096875272699904,338,-10,2024-10-31 14:47:12.342834+05:30,adventurous_unicorn_71057
234,1301096875272699904,252,60,2024-10-31 15:01:15.932814+05:30,adventurous_unicorn_71057
235,1301096875272699904,97,90,2024-10-31 15:35:40.024776+05:30,adventurous_unicorn_71057
236,1301096875272699904,24,100,2024-10-31 15:44:15.152245+05:30,adventurous_unicorn_71057
237,1060410743834546186,337,-10,2024-10-31 15:44:28.25031+05:30,pradeep2449
238,1060410743834546186,337,-10,2024-10-31 15:46:03.3426+05:30,pradeep2449
239,1060410743834546186,337,-10,2024-10-31 15:46:17.797388+05:30,pradeep2449
240,1060410743834546186,148,60,2024-10-31 15:51:04.291505+05:30,pradeep2449
241,1301096875272699904,165,-10,2024-10-31 16:04:03.655657+05:30,adventurous_unicorn_71057
242,1301096875272699904,165,60,2024-10-31 16:05:10.932187+05:30,adventurous_unicorn_71057
243,796757669226610739,158,100,2024-10-31 16:10:53.89524+05:30,pushpakgaikwad12
244,1301096875272699904,68,-10,2024-10-31 16:12:47.063362+05:30,adventurous_unicorn_71057
245,796757669226610739,187,130,2024-10-31 16:17:51.191413+05:30,pushpakgaikwad12
246,1301096875272699904,91,80,2024-10-31 16:20:58.082668+05:30,adventurous_unicorn_71057
247,1060410743834546186,227,-10,2024-10-31 16:23:18.497858+05:30,pradeep2449
248,1060410743834546186,227,60,2024-10-31 16:24:41.328595+05:30,pradeep2449
249,796757669226610739,306,120,2024-10-31 16:26:39.481483+05:30,pushpakgaikwad12
250,1301096875272699904,39,-10,2024-10-31 16:38:23.327996+05:30,adventurous_unicorn_71057
251,1301096875272699904,39,-10,2024-10-31 16:38:59.344795+05:30,adventurous_unicorn_71057
252,1292626593516355617,219,60,2024-10-31 17:22:39.077475+05:30,rssahu_34755
253,1060410743834546186,138,90,2024-10-31 17:28:04.310409+05:30,pradeep2449
254,796757669226610739,58,150,2024-10-31 17:42:25.274581+05:30,pushpakgaikwad12
255,796757669226610739,1,160,2024-10-31 17:47:36.416058+05:30,pushpakgaikwad12
256,1292626593516355617,97,90,2024-10-31 17:59:32.413254+05:30,rssahu_34755
257,1179805293518004286,343,-10,2024-10-31 18:20:51.821369+05:30,harshavardhan29
258,1179805293518004286,343,-10,2024-10-31 18:22:05.663086+05:30,harshavardhan29
259,1179805293518004286,343,80,2024-10-31 18:27:30.446771+05:30,harshavardhan29
260,1179805293518004286,345,-10,2024-10-31 18:39:05.555426+05:30,harshavardhan29
261,1179805293518004286,345,-10,2024-10-31 18:40:17.281124+05:30,harshavardhan29
262,1179805293518004286,345,-10,2024-10-31 18:42:12.306064+05:30,harshavardhan29
263,1294768227401863189,357,-10,2024-10-31 19:04:56.673738+05:30,sahib_08740
264,1179805293518004286,318,-20,2024-10-31 21:30:00.471796+05:30,harshavardhan29
265,1301110299889504358,348,-10,2024-11-01 11:11:38.548651+05:30,vamsi_39440
266,1300859530166403143,264,140,2024-11-01 13:11:47.098116+05:30,shubhampanthri_12929
267,1301096875272699904,169,-10,2024-11-01 13:49:03.973468+05:30,adventurous_unicorn_71057
268,1300839064781455401,353,60,2024-11-01 22:22:26.932947+05:30,anusha_sha
